31/5/2025,,,,SKU ID,H0888001_S_10143356,H0888001_S_10155683,H0888001_S_10145256,H0888001_S_10158697,H0888001_S_10158712
,,,,,原隻挪威三文魚鰭(急凍-18°C),澳洲150日穀飼黑安格斯牛板腱火鍋片,西班牙無添加激素豬梅片(急凍-18°C),澳洲和牛漢堡,愛爾蘭牛仔骨
CAMPAIGN_520,Ped promotion (Frozen),CIT,荃灣西 - 荃新天地O2O店,荃灣楊屋路道1號荃新天地I期地下G19B,0,0,0,1,0
CAMPAIGN_520,Ped promotion (Frozen),OLY,大角咀 - 奧海城O2O店,西九龍海泓道1號奧海城三期UG層30-31號鋪,3,0,2,5,2
CAMPAIGN_520,Ped promotion (Frozen),FAI,元朗 - 錦鏽花園O2O店,新界元朗錦繡花園商場E座地下12號舖 (自取),1,0,1,7,2
CAMPAIGN_520,Ped promotion (Frozen),SKW,筲箕灣 - 東大街O2O店,筲箕灣東大街28-40號東興大廈地下02號舖,2,0,0,0,1
CAMPAIGN_520,Ped promotion (Frozen),HWP,鑽石山 - 荷里活廣場O2O店,鑽石山荷里活廣場3樓339舖,0,0,0,0,1
CAMPAIGN_520,Ped promotion (Frozen),SRS,堅尼地城 - 士美菲路O2O店,士美菲路45-51號Smithfield Walk商場低層地下 3號舖 (自取),0,0,1,2,2
CAMPAIGN_520,Ped promotion (Frozen),GIN,天水圍 - 嘉湖商場O2O店,天水圍嘉湖銀座1期地下G84B號舖 (自取),3,1,2,5,1
CAMPAIGN_520,Ped promotion (Frozen),CAI,中環 - 堅道O2O店,香港 中環堅道80-88號堅都大廈地下E舖 (自取),1,1,1,1,2
CAMPAIGN_520,Ped promotion (Frozen),FTC,粉嶺名都商場O2O店,新界粉嶺車站路18號名都商場2樓51A號鋪,1,1,1,1,1
CAMPAIGN_520,Ped promotion (Frozen),SHS,鴨脷洲 - 海怡西商場O2O店,海怡西商場地下33C及D號舖 (自取),2,0,2,6,2
CAMPAIGN_520,Ped promotion (Frozen),KYE,九龍灣 - 九龍灣啟業O2O店,九龍灣啓業道18號啟業商場2A號鋪,0,0,0,0,0
CAMPAIGN_520,Ped promotion (Frozen),MFS,美孚 - 萬事達廣場O2O店,美孚新邨萬事達廣場15-17號N61A地舖 (自取),2,0,1,1,2
CAMPAIGN_520,Ped promotion (Frozen),APG,淘大商場O2O店,九龍灣淘大商場Shop G203,1,0,0,1,0
CAMPAIGN_520,Ped promotion (Frozen),MET,大角咀 - 港灣豪庭廣場O2O店,九龍 大角咀福利街8號港灣豪庭廣場G42-44號舖,2,0,1,0,2
CAMPAIGN_520,Ped promotion (Frozen),YMS,觀塘 - 裕民坊商場O2O店,九龍觀塘協和街33號裕民坊商場 一樓1A21號舖,1,1,1,1,1
CAMPAIGN_520,Ped promotion (Frozen),MSP,馬鞍山廣場O2O店,新界馬鞍山西沙路608號馬鞍山廣場2樓278號鋪,3,0,1,0,1
CAMPAIGN_520,Ped promotion (Frozen),ERE,紅磡煥然懿居店,九龍土瓜灣鶴園街8號煥然懿居G05舖,2,0,1,1,2
CAMPAIGN_520,Ped promotion (Frozen),HOM,紅磡 - 黃埔新邨O2O店,紅磡 德民街34A-34E號 黃埔新邨地下4E舖,2,0,1,2,1
CAMPAIGN_520,Ped promotion (Frozen),ARG,旺角 - 亞皆老街O2O店,九龍 亞皆老街 78號地下,0,0,1,0,1
CAMPAIGN_520,Ped promotion (Frozen),SHE,上水 - 上水中心O2O店,上水智昌路3號上水中心2樓2029號舖 (自取),4,0,1,2,2
CAMPAIGN_520,Ped promotion (Frozen),TCS,東涌 - 港鐵東涌站O2O店 (酒類及油類貨品除外),港鐵東涌站TUC 27號舖 (自取),2,1,1,5,1
CAMPAIGN_520,Ped promotion (Frozen),OWS,屯門 - 海趣坊O2O店,屯門海趣坊6號舖 (自取),3,1,2,5,2
CAMPAIGN_520,Ped promotion (Frozen),WCR,灣仔 - 英皇集團中心O2O店,灣仔軒尼詩道288號英皇集團中心地下G15號舖 (自取),0,0,0,1,1
CAMPAIGN_520,Ped promotion (Frozen),TYS,青衣 - 港鐵青衣站O2O店 (酒類及油類貨品除外),港鐵青衣站TSY 6號舖 (自取),3,1,3,6,1
CAMPAIGN_520,Ped promotion (Frozen),WME,粉嶺 - 華明商場O2O店,粉嶺 華明路21號 華明商場地下G38號鋪,2,0,1,0,1
CAMPAIGN_520,Ped promotion (Frozen),TPS,大埔 - 大埔廣場O2O店,大埔廣場地下4001-4002號舖 (自取),1,0,1,2,1
CAMPAIGN_520,Ped promotion (Frozen),YLS,元朗 - 建業街O2O店,元朗建業街56-86號聯發洋樓地下8B號舖,2,0,1,5,1
CAMPAIGN_520,Ped promotion (Frozen),SIU,屯門 - 港鐵兆康站O2O店 (酒類及油類貨品除外),港鐵兆康站SIH 17號舖 (自取),0,0,0,2,0
CAMPAIGN_520,Ped promotion (Frozen),KWA,葵涌 - 葵涌廣場O2O店,葵涌葵富路7-11號葵涌廣場地下A53A號舖,0,0,1,1,1
CAMPAIGN_520,Ped promotion (Frozen),SLE,葵涌 - 石籬商場O2O店,新界葵涌大隴街110號石籬商場二期 二樓B221號舖,2,0,1,0,2
CAMPAIGN_520,Ped promotion (Frozen),MCS,將軍澳 - 寶琳新都城中心O2O店,將軍澳欣景路8號新都城中心二期UG049號鋪 (自取),1,0,1,1,1
CAMPAIGN_520,Ped promotion (Frozen),GCS,沙田 - 沙田圍田園閣O2O店,沙田沙田圍路9-11號田園閣地下A號舖  (自取),2,0,2,4,1
CAMPAIGN_520,Ped promotion (Frozen),TPM,大埔 - 港鐵大埔墟站O2O店 (酒類及油類貨品除外),港鐵大埔墟站TAP 3號舖 (自取),1,0,0,1,1
CAMPAIGN_520,Ped promotion (Frozen),TFC,荃灣東 - 荃豐中心O2O店,新界 荃灣 西樓角路138-168號 荃豐中心 一樓 6號舖,0,0,1,1,1
CAMPAIGN_520,Ped promotion (Frozen),QWP,金鐘 - 金鐘廊O2O店,港島 金鐘金鐘廊一樓B16-17 號舖,0,0,1,0,1
CAMPAIGN_520,Ped promotion (Frozen),TWS,大圍 - 港鐵大圍站O2O店 (酒類及油類貨品除外),港鐵大圍站TAW 11號舖 (自取),3,0,2,3,2
CAMPAIGN_520,Ped promotion (Frozen),LOP,元朗 - 港鐵朗屏站O2O店 (酒類及油類貨品除外),元朗港鐵朗屏站24號舖,2,0,1,2,1
CAMPAIGN_520,Ped promotion (Frozen),PAN,悅來坊O2O店,荃灣悅來商場 shop G16B,1,0,0,1,1
CAMPAIGN_520,Ped promotion (Frozen),KRS,北角 - 健威O2O店,北角健威坊低層地下L3號舖 (自取),0,0,0,2,1
CAMPAIGN_520,Ped promotion (Frozen),DPA,荃灣西 - 愉景新城O2O店,荃灣青山公路荃灣段398號愉景新城2025號舖 (自取),1,1,0,1,2
CAMPAIGN_520,Ped promotion (Frozen),ABC,香港仔 - 香港仔中心O2O店,香港仔 南寧街9號 香港仔中心2期 地下 Shop 16A & 16B,2,0,2,3,2
CAMPAIGN_520,Ped promotion (Frozen),SCE,藍田 - 滙景廣場O2O店,藍田匯景商場4樓2C舖 (自取),0,0,2,1,2
CAMPAIGN_520,Ped promotion (Frozen),DIA,鑽石山 - 港鐵鑽石山站O2O店 (酒類及油類貨品除外),九龍港鐵鑽石山站DIH 109號舖,2,0,1,1,1
CAMPAIGN_520,Ped promotion (Frozen),YTS,油塘 - 大本型O2O店,油塘高超道38號大本型地下號舖 (自取),3,0,1,1,1
CAMPAIGN_520,Ped promotion (Frozen),BYM,荔枝角泓景匯O2O店,長沙灣荔枝角道863號泓景匯1/F 14號舖,3,1,2,4,1
CAMPAIGN_520,Ped promotion (Frozen),PVG,屯門 - 景峰花園O2O店,屯門景峰徑2號景峰花園地下G5號舖 (自取),1,0,2,1,2
CAMPAIGN_520,Ped promotion (Frozen),PFB,元朗大棠路O2O店,新界元朗元朗大棠路24號 裕景坊7E號 寶發大廈 地下12 號鋪,3,0,1,3,1
CAMPAIGN_520,Ped promotion (Frozen),FVG,小西灣 - 富景花園O2O店,小西灣道18號富景花園54-57號地舖,0,0,0,1,1
CAMPAIGN_520,Ped promotion (Frozen),PMS,杏花邨 - 杏花新城O2O店,杏花新城2/F 216號舖 (自取),2,1,1,4,2
CAMPAIGN_520,Ped promotion (Frozen),LOH,康城 - 港鐵康城站O2O店 (酒類及油類貨品除外),康城港鐵站LHP 2號舖,2,1,1,4,1
CAMPAIGN_520,Ped promotion (Frozen),TKL,調景嶺 - 港鐵調景嶺站O2O店 (酒類及油類貨品除外),港鐵調景嶺站TIK 7號舖,2,1,1,1,1
CAMPAIGN_520,Ped promotion (Frozen),SAI,西貢 - 西貢O2O店,新界西貢西貢大廈地下12號舖,1,1,1,0,1
CAMPAIGN_520,Ped promotion (Frozen),TIS,天水圍 - 港鐵天水圍站O2O店(閘內) (酒類及油類貨品除外）,新界港鐵天水圍站TIS 8號舖(閘內) (鄰近D出口),0,0,0,1,0
CAMPAIGN_520,Ped promotion (Frozen),HHS,坑口 - 港鐵坑口站O2O店(酒類及油類貨品除外),港鐵坑口站HAH7號舖 (自取),1,0,1,2,1
CAMPAIGN_520,Ped promotion (Frozen),KAM,錦上路 - 港鐵錦上路站O2O店 (酒類及油類貨品除外),港鐵錦上路站KSR 5號舖 (自取),2,0,3,4,0
CAMPAIGN_520,Ped promotion (Frozen),LEI,鴨脷洲 - 港鐵利東站O2O店 (酒類及油類貨品除外),香港港鐵利東站LET 1號舖 (近A1出口),1,0,0,2,1
CAMPAIGN_520,Ped promotion (Frozen),ROC,西環石塘坊店,香港 石塘咀德輔道西402-404號石塘坊地下G09號舖,1,0,1,2,2
CAMPAIGN_520,Ped promotion (Frozen),KOR,太古 - 康怡廣場O2O店,香港康山道1號康怡廣場一樓F11A-F11B號舖,2,0,1,0,2
CAMPAIGN_520,Ped promotion (Frozen),SGL,灣仔 - 春園街O2O店,春園街1-11號春暉大廈地下07號舖,0,0,0,0,1
CAMPAIGN_520,Ped promotion (Frozen),TMS,港鐵屯門站O2O店,港鐵屯門站TUM39號舖,2,0,2,3,1
CAMPAIGN_520,Ped promotion (Frozen),POC,將軍澳 - PopCorn O2O店,將軍澳PopCorn 2商場地下57號舖,0,1,0,1,1
CAMPAIGN_520,Ped promotion (Frozen),SWQ,上環 - 上環O2O店,香港皇后大道中346-348號金煌行地下D號舖,1,0,1,1,2
CAMPAIGN_520,Ped promotion (Frozen),SWH,西灣河 - 筲箕灣道O2O店,西灣河 筲箕灣道 86號地下,2,0,1,4,1
CAMPAIGN_520,Ped promotion (Frozen),HPS,跑馬地 - 成和道O2O店,跑馬地成和道39E號海怡閣地下6號舖 (自取),0,0,0,0,0
CAMPAIGN_520,Ped promotion (Frozen),UNC,長沙灣 - 元洲街O2O店,九龍長沙灣元州街388號肇如大廈地下D舖,5,0,2,5,2
CAMPAIGN_520,Ped promotion (Frozen),GRC,粉嶺 - 逸峯廣場O2O店,粉嶺馬適路1號逸峯廣場地下G15號舖,1,0,2,2,2
CAMPAIGN_520,Ped promotion (Frozen),TWO,太和 - 港鐵太和站O2O店,港鐵太和站 1 號舖,1,0,0,1,1
CAMPAIGN_520,Ped promotion (Frozen),MTP,土瓜灣 - 馬頭角道O2O店,土瓜灣馬頭角道28號金都豪苑地下5號舖,2,1,2,2,1
CAMPAIGN_520,Ped promotion (Frozen),STR,深井 - 海韻花園O2O店,深井段38號海韻花園商場G15號舖,0,0,0,2,0
CAMPAIGN_520,Ped promotion (Frozen),YUL,港鐵元朗站O2O店,港鐵元朗站 YUL 13-14 號舖,1,1,1,10,2
CAMPAIGN_520,Ped promotion (Frozen),JAR,北角 - 渣華道O2O店,北角渣華道23-27 號金豐大廈地下E號舖,1,0,1,0,1
,,,,Total,0,0,0,0,0
