27/09/2025,,SKU ID,H0888001_S_10105000,H0888001_S_10105001
"",,,宮崎/熊本/愛知 亞魯斯青肉蜜瓜 (特秀品等級/約1.5公斤)宮崎/熊本/愛知 亞魯斯青肉蜜瓜 (特秀品等級/約1.5公斤)宮崎/熊本/愛知 亞魯斯青肉蜜瓜 (特秀品等級/約1.5公斤),熊本 肥後青肉蜜瓜 (秀等級/約2公斤)
SRS,堅尼地城店,士美菲路45-51號Smithfield Walk商場低層地下 3號舖 (自取),0,0
COB,COB Shop,23座地下H舖 (自取),0,0
ECS,屯門雅都店,雅都商場地下G9B號舖(新墟街市對面) (自取),0,0
HHS,坑口港鐡站店,港鐵坑口站HAH7號舖 (自取),0,0
WSH,銅鑼灣皇室堡HoKoBuy店,銅鑼灣皇室堡10樓 (自取),0,0
MCS,寶琳店,將軍澳欣景路8號新都城中心二期UG049號鋪 (自取),0,0
STS,深井店,青山公路48號地下B-D舖 (自取),0,0
TSS,慈雲山中心店(只接受常溫貨品),慈雲山中心3樓316號舖 (自取),0,0
FKA,"FAKESHOP01, beef",FAKESHOP01,0,0
TWS,港鐵 - 新界大圍站店,港鐵大圍站TAW49號舖 (自取),0,0
YTS," 美孚萬事達廣場店 (只接受常溫貨品)",美孚新邨萬事達廣場15-17號N61A地舖 (自取),0,0
IRS,小西灣藍灣廣場店,"藍灣廣場UG層36A號舖 (自取) ",0,0
CTS,沙田置富第一城店,"Shop 1, City One Shatin, Shatin (pick-up)",0,0
WFS,北角和富店,北角和富道38號 (自取Testing),0,0
CLS,EDIT 屯門置樂店,EDIT 置樂花園地下68號舖 (自取),2,1
RRS,羅便臣道店,羅便臣道30-32號寶時大廈地下A舖 (自取),0,0
LPS,麗港城商場,麗港城商場地下19A號舖 (自取),0,0
SHS,海怡半島店,海怡西商場地下33C及D號舖 (自取),0,0
"",,Total,2,1
