pos_order_number,sku_id,qty,total_amount,order_date,promotion_code,promotion_name_zh,promotion_name_en,promotion_label,promotion_discount_amount,cashier,hybris_sync_date,mall_dollar_rebate_amount
MCS0020260304094648,H0888001_S_10158734,2,20,2026-03-04,PROMO_30468,"<RM>貴州高原紅心雞蛋 $20/2","<RM>貴州高原紅心雞蛋 $20/2",RM_DISCOUNT_SKU_LEVEL,10.0,YYSHIH,"0000-00-00 00:00:00",NULL
KAM0020260304095118,H1688001_S_10112504,12,39.8,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,8.2,TLCHAN,"0000-00-00 00:00:00",NULL
MCS0020260304095457,H1688001_S_10111630,1,16.9,2026-03-04,,,,,,YYSHIH,"0000-00-00 00:00:00",NULL
MCS0020260304095540,H1688001_S_10112060,3,9.9,2026-03-04,PROMO_32087|PROMO_32542,"<FRUIT>  ALL 新高梨: $19.9/3|送檸檬碳酸1支(3)","<FRUIT> Buy More Save More: $19.9/3|送檸檬碳酸1支(3)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,4.1|10.0,YYSHIH,"0000-00-00 00:00:00",NULL
MCS0020260304095540,H0888001_S_10161394,1,10,2026-03-04,PROMO_32542,送檸檬碳酸1支(3),送檸檬碳酸1支(3),RM_DISCOUNT_SKU_LEVEL,8.0,YYSHIH,"0000-00-00 00:00:00",NULL
MCS0020260304095751,H1688001_S_10111271,6,9.9,2026-03-04,PROMO_32533|PROMO_32545,"<FRUIT>  ALL 超甜蜜柑: $19.9/6個|送檸檬碳酸1支(6)","<FRUIT> Buy More Save More: $19.9/6|送檸檬碳酸1支(6)",RM_DISCOUNT_SKU_LEVEL|RM_DISCOUNT_SKU_LEVEL,4.1|10.0,YYSHIH,"0000-00-00 00:00:00",NULL
MCS0020260304095751,H0888001_S_10161394,1,10,2026-03-04,PROMO_32545,送檸檬碳酸1支(6),送檸檬碳酸1支(6),RM_DISCOUNT_SKU_LEVEL,8.0,YYSHIH,"0000-00-00 00:00:00",NULL
TKS0020260304095834,H1688001_S_10111271,6,19.9,2026-03-04,PROMO_32533,"<FRUIT>  ALL 超甜蜜柑: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,MF240155,"0000-00-00 00:00:00",NULL
MCS0020260304100130,H1688001_S_10112504,6,19.9,2026-03-04,PROMO_31263,"<FRUIT>  ALL 瑭橙: $19.9/6個","<FRUIT> Buy More Save More: $19.9/6",RM_DISCOUNT_SKU_LEVEL,4.1,YYSHIH,"0000-00-00 00:00:00",NULL
MCS0020260304100435,H0888001_S_10138512,2,38,2026-03-04,PROMO_4347|PROMO_27950,"Auto 長者會員每件-$2|<RM>日本白蛋/韓國蛋/泰國蛋 $42/2","Auto Senior Club Member -$2/pcs|<RM>日本白蛋/韓國蛋/泰國蛋 $42/2",PROMOTION|RM_DISCOUNT_SKU_LEVEL,4.0|8.0,YYSHIH,"0000-00-00 00:00:00",NULL
