posOrderNumber,posReturnNumber,refundAmount,totalRefundValue,refundMethod,transactionDate
CAI0020251005100146,CAI0020251117110017V,75.6,75.6,QR_CODE_VOID_TRANSACTION,2025-11-17T11:00:17+08:00
CAI0020251005140934,CAI0020251117110018V,39.9,39.9,CREDIT_CARD_VOID_TRANSACTION,2025-11-17T11:00:18+08:00
CAI0020251005173957,CAI0020251117110019V,68.8,68.8,CREDIT_CARD_VOID_TRANSACTION,2025-11-17T11:00:19+08:00
CAI0020251005174845,CAI0020251117110020V,246,246,CREDIT_CARD_VOID_TRANSACTION,2025-11-17T11:00:20+08:00
GIN0020251005104442,GIN0020251117110021V,159.9,159.9,BANK_IN,2025-11-17T11:00:21+08:00
GIN0020251005132209,GIN0020251117110022V,165.9,165.9,BANK_IN,2025-11-17T11:00:22+08:00
GIN0020251005172141,GIN0020251117110023V,98.9,98.9,BANK_IN,2025-11-17T11:00:23+08:00
GIN0020251005172431,GIN0020251117110024V,74.9,74.9,BANK_IN,2025-11-17T11:00:24+08:00
GIN0020251005184501,GIN0020251117110025V,39.9,39.9,QR_CODE_VOID_TRANSACTION,2025-11-17T11:00:25+08:00
GIN0020251005192339,GIN0020251117110026V,108.9,108.9,BANK_IN,2025-11-17T11:00:26+08:00
GIN0020251005203539,GIN0020251117110027V,9.9,9.9,BANK_IN,2025-11-17T11:00:27+08:00
HOM0320251005161541,HOM0320251117110028V,59.8,59.8,BANK_IN,2025-11-17T11:00:28+08:00
HOM0320251005170342,HOM0320251117110029V,129.8,129.8,BANK_IN,2025-11-17T11:00:29+08:00
HOM0320251005181735,HOM0320251117110030V,9.9,9.9,BANK_IN,2025-11-17T11:00:30+08:00
HOM0320251005184710,HOM0320251117110031V,74,74,BANK_IN,2025-11-17T11:00:31+08:00
HOM0320251005195329,HOM0320251117110032V,38,38,CREDIT_CARD_VOID_TRANSACTION,2025-11-17T11:00:32+08:00
KAM0020251005121429,KAM0020251117110033V,38,38,BANK_IN,2025-11-17T11:00:33+08:00
KAM0020251005164550,KAM0020251117110034V,89.8,89.8,CREDIT_CARD_VOID_TRANSACTION,2025-11-17T11:00:34+08:00
KAM0020251005181534,KAM0020251117110035V,169.7,169.7,BANK_IN,2025-11-17T11:00:35+08:00
KAM0020251005191440,KAM0020251117110036V,166.8,166.8,BANK_IN,2025-11-17T11:00:36+08:00
KAM0020251005191531,KAM0020251117110037V,166.8,166.8,BANK_IN,2025-11-17T11:00:37+08:00
KOR0020251005141245,KOR0020251117110038V,69.9,69.9,CREDIT_CARD_VOID_TRANSACTION,2025-11-17T11:00:38+08:00
KOR0020251005151648,KOR0020251117110039V,109.8,109.8,CREDIT_CARD_VOID_TRANSACTION,2025-11-17T11:00:39+08:00
KOR0020251005163031,KOR0020251117110040V,187.7,187.7,CREDIT_CARD_VOID_TRANSACTION,2025-11-17T11:00:40+08:00
KOR0020251005200234,KOR0020251117110041V,153,153,QR_CODE_VOID_TRANSACTION,2025-11-17T11:00:41+08:00
KOR0020251005203711,KOR0020251117110042V,9.9,9.9,BANK_IN,2025-11-17T11:00:42+08:00
KRS0020251005181556,KRS0020251117110043V,113.8,113.8,CREDIT_CARD_VOID_TRANSACTION,2025-11-17T11:00:43+08:00
KRS0020251005195553,KRS0020251117110044V,59.9,59.9,CREDIT_CARD_VOID_TRANSACTION,2025-11-17T11:00:44+08:00
MSM0020251005192225,MSM0020251117110045V,12,12,QR_CODE_VOID_TRANSACTION,2025-11-17T11:00:45+08:00
