房号,年份,月份,check in,已租/未租,上月水费,检查水费 ,单价水费,上月电费,本月电费,单价电费,房租,网费,卫生费,管理费,电梯费,其他,备注,房东备注,空房,收到房租,,,,,本月水费,本月电费
1011,2025,1,,2028-2-20,80,0,5,18756,554,1.2,"3,800.00",,10,,,3,,,,,,,,,80,19310
1012,2025,1,,2028-2-20,296,0,5,,0,1.2,0.00,,0,,,,,,,,,,,,296,
107,2025,1,,2024-7-31,454,12,4.93,7881,146,0.71,"1,250.00",,10,,,3,需要补250押金,,,,,,,,466,8027
108,2025,1,,,175,0,4.93,6887,9,0.71,"1,250.00",,20,,,0,250押金未补,,,,,,,,175,6896
109,2025,1,,2024-6-28,134,0,4.93,9281,46,0.71,700.00,,10,,,3,50押金未补,,,,,,,,134,9327
210,2025,1,,,10,0,4.93,14721,0,0.71,,,10,,,3,,,TRUE,,,,,,10,14721
201,2025,1,,2024-4-30,356,4,4.93,8058,83,0.71,700.00,,10,,,10,,,,,,,,,360,8141
202,2025,1,,2024-10-14,235,6,4.93,6858,198,0.71,"1,250.00",50,10,,,3,,,,,,,,,241,7056
203,2025,1,,2024-12-11,758,28,4.93,15192,283,0.71,"1,490.00",,10,,,3,,,,,,,,,786,15475
204,2025,1,,2025-7,106,6,4.93,2754,85,0.71,"1,150.00",,10,,,3,,,,,,,,,112,2839
205,2025,1,,,81,3,4.93,810,55,0.71,"1,400.00",40,,,,,,,,,,,,,84,865
206,2025,1,,2024-4-1,21,2,4.93,1195,120,0.71,,,10,,,3,,,,,,,,,23,1315
301,2025,1,,,116,1,4.93,5358,19,0.71,750.00,,10,,,10,,,,,,,,,117,5377
302,2025,1,,2024-11-1,138,4,4.93,7202,124,0.71,"1,000.00",40,10,,,3,,,,,,,,,142,7326
303,2025,1,,2024,3,0,4.93,2602,43,0.71,,,10,,,10,,,,,,,,,3,2645
304,2025,1,,2024-4-30,148,4,4.93,2570,61,0.71,830.00,50,10,,,3,,,,,,,,,152,2631
305,2025,1,,,249,5,4.93,4178,94,0.71,"1,490.00",,10,,,3,,,,,,,,,254,4272
306,2025,1,,,34,1,4.93,5319,91,0.71,800.00,,10,,,3,,,,,,,,,35,5410
307,2025,1,,,13,4,4.93,3289,65,0.71,800.00,,10,,,3,,,,,,,,,17,3354
308,2025,1,,,289,1,4.93,7105,7,0.71,0.00,,20,,,0,,,,,,,,,290,7112
401,2025,1,,,238,2,4.93,1217,55,0.71,920.00,,,,,,,,,,,,,,240,1272
402,2025,1,,2024-4-30,90,3,4.93,5428,421,0.71,970.00,50,10,,,3,,,,,,,,,93,5849
403,2025,1,,2024-7-11,28,0,4.93,1674,2,0.71,,,0,,,20,,,,,,,,,28,1676
404,2025,1,,,11,1,4.93,4883,92,0.71,"1,100.00",,10,,,10,,,,,,,,,12,4975
405,2025,1,,2024-6-24,304,4,4.93,95,106,0.71,"1,200.00",30,18,,,20,,,,,,,,,308,201
406,2025,1,,,31,1,4.93,4580,72,0.71,900.00,,20,,,10,,,,,,,,,32,4652
407,2025,1,,,35,2,4.93,2895,65,0.71,850.00,40,0,,,0,,,,,,,,,37,2960
408,2025,1,,,21,0,4.93,1832,15,0.71,,,10,,,10,,,,,,,,,21,1847
501,2025,1,,2024-4-30,65,4,4.93,3393,57,0.71,840.00,50,10,,,10, ,,,,,,,,69,3450
502,2025,1,,2024-4-30,43,3,4.93,7214,77,0.71,"1,070.00",45,10,,,3,,,,,,,,,46,7291
503,2025,1,,,45,1,4.93,3398,21,0.71,900.00,50,18,,,20,12月开始房租是1100,,,,,,,,46,3419
504,2025,1,,2024-4-30,55,5,4.93,2212,95,0.71,"1,050.00",0,,,,,,,,,,,,,60,2307
505,2025,1,,2024-4-30,318,3,4.93,6898,125,0.71,"1,200.00",40,10,,,10,,,,,,,,,321,7023
506,2025,1,,2024-3-3,69,1,4.93,2978,70,0.71,950.00,,,,,,,,,,,,,,70,3048
507,2025,1,,2024-1-31,231,3,4.93,3478,80,0.71,800.00,40,10,,,10,,,,,,,,,234,3558
508,2025,1,,,39,2,4.93,4223,75,0.71,900.00,,,,,,,,,,,,,,41,4298
601,2025,1,,2024-2-9,16,0,4.93,2770,3,0.71,860.00,50,10,,,3,,,,,,,,,16,2773
602,2025,1,,2024-3-9,136,5,4.93,5613,122,0.71,"1,160.00",40,10,,,10,,,,,,,,,141,5735
603,2025,1,,2024-1-31,43,2,4.93,5096,72,0.71,900.00,,10,,,10,,,,,,,,,45,5168
604,2025,1,,2024-4-30,351,5,4.93,7139,259,0.71,920.00,40,10,,,3,,,,,,,,,356,7398
605,2025,1,,2024-7-31,397,6,4.93,4970,156,0.71,"1,250.00",,18,,,13,,,,,,,,,403,5126
606,2025,1,,,1,0,4.93,4189,0,0.71,"1,000.00",,10,,,3,,,,,,,,,1,4189
607,2025,1,,,17,1,4.93,2901,34,0.71,,,0,,,3,,,,,,,,,18,2935
608,2025,1,,2024-2-8,18,1,4.93,2050,133,0.71,920.00,,18,,,,,,,,,,,,19,2183
701,2025,1,,2024-11-30,24,3,4.93,4753,131,0.71,920.00,,0,,,0,,,,,,,,,27,4884
702,2025,1,,2024-4-30,59,2,4.93,14025,80,0.71,"1,120.00",,10,,,3,,,,,,,,,61,14105
703,2025,1,,2024-11-2,209,3,4.93,5082,71,0.71,"1,000.00",,10,,,3,,,,,,,,,212,5153
704,2025,1,,2025-6-1,320,2,4.93,8173,53,0.71,"1,050.00",,20,,,18,,,,,,,,,322,8226
705,2025,1,,,44,9,4.93,9232,150,0.71,0.00,,10,,,3,,,TRUE,,,,,,53,9382
