Product Code,Product Name,Primary Category,POS Category,EAN,Store Name,Reference Type,Reference Number,Available Quantity Change,Available Quantity,Arriving Quantity Change,Arriving Quantity,Departing Quantity Change,Departing Quantity,Transaction Date
H0249001_S_KC1129,指甲油 (彩色系),AA37701000001,PSOSTEST16;PSOSTEST1051;PSOSElderlyProgram,2000000124292,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10105000,宮崎/熊本/愛知 亞魯斯青肉蜜瓜 (特秀品等級/約1.5公斤)宮崎/熊本/愛知 亞魯斯青肉蜜瓜 (特秀品等級/約1.5公斤)宮崎/熊本/愛知 亞魯斯青肉蜜瓜 (特秀品等級/約1.5公斤),AA47105000001,PSOSTEST18;PSOSTEST1357;PSOSElderlyProgram,2000000079905,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,640,640,3361,3246,0,0,22/05/2023 11:13:02
H0888001_S_10015773,廣東鮮蝦雲吞皇10粒裝一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十,AA47105000001,PSOSTest_Frozen_Non Meat_Seafood;PSOSIMAX_KERRY;PSOSTEST58;PSOSTEST671;PSOSElderlyProgram,2000010157563;4867813081219,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,662,662,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10015618,日本煮食用帶子(急凍),AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST9;PSOSTEST869;PSOSElderlyProgram,4897010671315,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-5,-5,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10011834,炸魚手指 (急凍),AA11118200001,PSOSTest_Frozen_Non Meat_Seafood;PSOSTEST58;PSOSTEST472;PSOSElderlyProgram,8724144082353;9415022026128,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-2,-2,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10002036,衣物柔順劑清新氣息配方,AA11820515001,PSOSTEST16;PSOSTEST1265;PSOSElderlyProgram,4892368660820;H0888001_S_10002036,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,0,0,30,30,0,0,22/05/2023 11:13:02
H0888001_S_10007309,2合1抗敏沐浴/洗髮啫喱,AA11924005001,PSOSTEST37;PSOSTEST1624;PSOSElderlyProgram,3286010008992,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-1893,-1893,504,504,0,0,22/05/2023 11:13:02
H0160001_S_WN07477,活養細胞茄紅素,AA47108500001,PSOSTEST16;PSOSTEST479;PSOSVIP20250609;PSOSElderlyProgram,625273074772,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,8,8,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10012579,有機雞胸 (去皮無骨) (急凍),AA47105000001,PSOSTEST89;PSOSTEST462;PSOSElderlyProgram,1799722618295;2000000122175,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,0,0,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10016359,雜錦派對燒烤腸 (急凍),AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST35;PSOSTEST1833;PSOSElderlyProgram,9003903496414,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10012115,小白菜豬肉水餃 (急凍）,AA11115000001,PSOSTEST72;PSOSTEST1703,4897878720019,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,0,0,132,132,0,0,22/05/2023 11:13:02
H0249001_S_1272,AAA薰衣草沐浴露,AA42101500001,PSOSTEST_VEGET;PSOSTEST43;PSOSTEST623;PSOSVIP20250610,4891363100102,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-2,-2,0,0,0,0,22/05/2023 11:13:02
H0888001_S_10022800,法國雞中翼 (急凍),AA11118200001,PSOSTest_FrozenA_B_C;PSOSTEST88;PSOSTEST1150;PSOSElderlyProgram,2022033009506;4895134101251,"IRSIsland Resort, Siu Sai Wan",DATA_ARCHIVE,2023-05-22 11:13:02,-3,-3,0,0,0,0,22/05/2023 11:13:02
