Shop Code,Store Name,Date,Time,SKU,Product Name,Primary Category,POS Category,EAN,Type,Reference ID,Available Quantity Changes,Available Quantity,Receiving Quantity Changes,Receiving Quantity,Departing Quantity Changes,Departing Quantity
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0160001_S_WN07477,"活養細胞茄紅素 ",AA47108500001,PSOSTEST16;PSOSTEST479;PSOSVIP20250609;PSOSElderlyProgram,625273074772,DATA_ARCHIVE,2023-05-22 11:13:02,8,8,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0160001_S_WN07490,"女士至寶護道小紅莓 ",AA47109000001,PSOSTEST78;PSOSTEST1264;PSOSElderlyProgram,625273074901,DATA_ARCHIVE,2023-05-22 11:13:02,65,12,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10009151,什錦軟糖 Mixed Fruit Candy,AA11150560001,PSOSTEST43;PSOSTEST1402;PSOSElderlyProgram,4901550267546,DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10012836,冷凍熟帶頭南美白對蝦 Frozen Cooked Head On Shell On Shrimp,AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST73;PSOSTEST1832;PSOSElderlyProgram,8858984801517,DATA_ARCHIVE,2023-05-22 11:13:02,-12,-12,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10004781,前一丁九州濃湯豬骨湯味麵 Demae Ramen Kyushu Tonkotsu Flavour Instant Noodle,AA47105000001,PSOSTest_FRUIT;PSOSTEST98;PSOSTEST486;PSOSElderlyProgram,4897878800025,DATA_ARCHIVE,2023-05-22 11:13:02,1244,1244,4400,4250,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10007311,抗敏護膚膏 Rash Cream,AA11924015001,PSOSBIOLANE;PSOSTEST66;PSOSTEST1015;PSOSElderlyProgram,3286011092310,DATA_ARCHIVE,2023-05-22 11:13:02,0,0,420,420,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10136677,越南海虎蝦 套裝 (急凍) Vietnam Black Tiger Shrimp Set (Frozen),AA47105000001,PSOSTest_Meatset;PSOSAllExcludeList;PSOSTEST6;PSOSTEST1761;PSOSElderlyProgram,2000101366775,DATA_ARCHIVE,2023-05-22 11:13:02,-1900,-1900,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10007309,2合1抗敏沐浴/洗髮啫喱 Lipid-enriched Body and Hair Cleansing Gel,AA11924005001,PSOSTEST37;PSOSTEST1624;PSOSElderlyProgram,3286010008992,DATA_ARCHIVE,2023-05-22 11:13:02,-1893,-1893,504,504,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0249001_S_4290,"懷舊2R相簿 ",AA37800000001,PSOSTEST23;PSOSTEST1031,2000000124483,DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0249001_S_KC1112,"指甲油 (藍紫色系) ",AA37701000001,PSOSTEST52;PSOSTEST1329;PSOSElderlyProgram,2000000123899,DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10004785,出前一丁火辣海鮮味麵 Demae Ramen Spicy Seafood Flavour Instant Noodle,AA11354005001,PSOSnoodles;PSOSTEST12;PSOSTEST659,4897878800032,DATA_ARCHIVE,2023-05-22 11:13:02,672,672,1596,1536,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10002036,衣物柔順劑清新氣息配方 Regular Fabric Softener Spring Fresh,AA11820515001,PSOSTEST16;PSOSTEST1265;PSOSElderlyProgram,4892368660820;H0888001_S_10002036,DATA_ARCHIVE,2023-05-22 11:13:02,0,0,30,30,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10009135,藍梅寒天果凍糖 Blueberry Agar Jelly,AA11153005001,PSOSTEST64;PSOSTEST1305;PSOSElderlyProgram,4901377002207,DATA_ARCHIVE,2023-05-22 11:13:02,-2,-2,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10011834,炸魚手指 (急凍) Fish Fingers - Classic Crumb (Frozen),AA11118200001,PSOSTest_Frozen_Non Meat_Seafood;PSOSTEST58;PSOSTEST472;PSOSElderlyProgram,8724144082353;9415022026128,DATA_ARCHIVE,2023-05-22 11:13:02,-2,-2,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10019475,"西班牙栗飼豬梅肉扒 (急凍) Selecta Pork Collar Meat , chestnut fed (Frozen)",AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST3;PSOSElderlyProgram,4895134103002,DATA_ARCHIVE,2023-05-22 11:13:02,-4,-4,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10015618,日本煮食用帶子(急凍) Scallop for Cook(Frozen),AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST9;PSOSTEST869;PSOSElderlyProgram,4897010671315,DATA_ARCHIVE,2023-05-22 11:13:02,-5,-5,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10007313,滋潤保濕乳霜 Nourishing and Moisturizing Cream,AA11924015001,PSOSBIOLANE;PSOSTEST93;PSOSTEST1702;PSOSElderlyProgram,3286011008502,DATA_ARCHIVE,2023-05-22 11:13:02,-12,-12,0,0,2,2
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10009665,穴位按壓清涼足貼 Kyusoku Jikan Cooling Sheet With Protrusion,AA11856000001,PSOSTEST88;PSOSTEST694;PSOSElderlyProgram,2000000103549;4895149205111,DATA_ARCHIVE,2023-05-22 11:13:02,60,60,900,900,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10134870,美國Prime 牛肩肉火鍋片 (急凍) U.S.D.A Prime Chuck Roll Sliced (Frozen),AA47105000001,PSOSTest_Frozen;PSOSTEST13;PSOSTEST1225;PSOSElderlyProgram,489705930506,DATA_ARCHIVE,2023-05-22 11:13:02,-2,-2,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10012012,Bibigo 鮮嫩雞肉迷你水餃 (急凍) Bibigo Chicken Dumpling (Frozen),AA11115000001,PSOSTest_Frozen_Non Meat_Seafood;PSOSTEST94;PSOSTEST264;PSOSexcludegaigaitest;PSOSgaigaisssss;PSOSElderlyProgram,6955797200284,DATA_ARCHIVE,2023-05-22 11:13:02,-1,-1,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10003734,純正番茄汁 Tomato Juice,AA11222010001,PSOSTEST71;PSOSTEST448;PSOSElderlyProgram,4901306012901,DATA_ARCHIVE,2023-05-22 11:13:02,28,28,378,378,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10002038,衣物柔順劑溫柔呵護配方 Regular Fabric Softener Mild Formula,AA11820515001,PSOSSOFTEN;PSOSTEST27;PSOSTEST268;PSOSElderlyProgram,4892368660837;4892368839073,DATA_ARCHIVE,2023-05-22 11:13:02,54,54,900,900,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10012783,巴西牛胸腩粒 (急凍) Brazil Beef Brisket Diced (Frozen),AA47105000001,PSOSTest_Frozen;PSOSIMAX_KERRY;PSOSTEST32;PSOSTEST437;PSOSElderlyProgram,4895134101725,DATA_ARCHIVE,2023-05-22 11:13:02,-1262,-1262,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10012725,日式浦燒鰻魚 (急凍) Unagi Kabayaki (Frozen),AA47105000001,PSOSTest_Frozen;PSOSIMAX_KERRY;PSOSTEST8;PSOSTEST1688;PSOSElderlyProgram,4897010671568,DATA_ARCHIVE,2023-05-22 11:13:02,586,586,50,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10018053,美國安格斯一口牛粒 (急凍) U.S. Angus Beef Cube (Frozen),AA47105000001,PSOSTest_FrozenA_B_C;PSOSTEST60;PSOSTEST1418;PSOSElderlyProgram,4897059300498,DATA_ARCHIVE,2023-05-22 11:13:02,-4,-4,0,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",2023-05-22,11:13,H0888001_S_10015773,廣東鮮蝦雲吞皇10粒裝一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十 Guangdong Deluxe Shrimp Wonton 10's(Frozen),AA47105000001,PSOSTest_Frozen_Non Meat_Seafood;PSOSIMAX_KERRY;PSOSTEST58;PSOSTEST671;PSOSElderlyProgram,2000010157563;4867813081219,DATA_ARCHIVE,2023-05-22 11:13:02,662,662,0,0,0,0
