Shop Code,Store Name,SKU,Product Name,Primary Category,POS Category,EAN,Available Quantity,Receiving Quantity,Departing Quantity
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0001001_S_plasticbag1,膠袋1 plasticbag1,AA11851005001,PSOSTEST8;PSOSTEST1189;PSOSExcludePlasticBag;PSOSVIP20250609,abbytest20220107;test_2,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0160001_S_HHC00136,??TTO??? Dada,AA37452000001,PSOSTest_Cathy;PSOSTEST58;PSOSTEST1135;POS_CAT_FROZEN;PSOSVIP20250609;PSOSElderlyProgram,620554001362,-2,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0160001_S_WN07454,[勃根地直送] AOC Coteaux Bourguignons 2020 AOC Coteaux Bourguignons 2020,AA47108500001,PSOSTest_Cathy;PSOSTEST74;PSOSTEST1796;PSOSVIP20250609;PSOSgaigaisssss;PSOSElderlyProgram,625273074543,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0160001_S_WN07470,"醒腦銀杏精華 ",AA13205005000,PSOSTEST54;PSOSTEST1883;PSOSVIP20250609;PSOSElderlyProgram,625273074703,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0160001_S_WN07477,"活養細胞茄紅素 ",AA47108500001,PSOSTEST16;PSOSTEST479;PSOSVIP20250609;PSOSElderlyProgram,625273074772,8,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0160001_S_WN07490,"女士至寶護道小紅莓 ",AA47109000001,PSOSTEST78;PSOSTEST1264;PSOSElderlyProgram,625273074901,12,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0176001_S_669903-G,防脹氣奶瓶160ml-綠色 Anit-Colic 160ml (5oz)  (Green),AA33504000001,PSOSTEST_VEGET;PSOSTEST22;PSOSTEST1440;PSOS_exclude_list_test;PSOSElderlyProgram,MDRound,-2,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0249001_S_1272,AAA薰衣草沐浴露 AAA,AA42101500001,PSOSTEST_VEGET;PSOSTEST43;PSOSTEST623;PSOSVIP20250610,4891363100102,-2,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0249001_S_1284,活花護髮素 Live Flower Conditioner,AA42254500001,PSOSTEST100;PSOSVIP20250610;PSOSexclude20250610;PSOSElderlyProgram,4891363100522,-1,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0249001_S_4290,"懷舊2R相簿 ",AA37800000001,PSOSTEST23;PSOSTEST1031,2000000124483,-1,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0249001_S_KC1112,"指甲油 (藍紫色系) ",AA37701000001,PSOSTEST52;PSOSTEST1329;PSOSElderlyProgram,2000000123899,-1,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0249001_S_KC1129,"指甲油 (彩色系) ",AA37701000001,PSOSTEST16;PSOSTEST1051;PSOSElderlyProgram,2000000124292,-1,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0249001_S_KC1136,"指甲油 (彩色系) ",AA37701000001,PSOSTEST38;PSOSTEST1969,2000000124179,-1,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0249001_S_KC1140,"指甲油 (彩色系) ",AA37701000001,PSOSTEST57;PSOSTEST154;PSOSElderlyProgram,2000000124193,-1,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0294001_S_120301,潔淨控油頭皮精華 NORMALISANTE OILY SCALP SERUM,AA42301500001,PSOSTEST4;PSOSTEST151;PSOSElderlyProgram,4040218120301,0,70,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0361001_S_1100000000193,福岡 '甜王' 一口&#21867;喱 (12個/每個21克) Fukuoka 'Amaou' Strawberry One-Bite Jelly (12 x 21g),AA15103000001,PSOSTEST68;PSOSTEST1477,,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0379001_S_ST003,智多健AAA - 3號 Chi Do Kin AAA - No. 3,AA28053000001,PSOSTEST82;PSOSTEST1418;PSOSElderlyProgram,878666001552,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0678001_S_1004,玫瑰四物飲 Rose with Si Wu Tang,AA11225030001,PSOSTEST60;PSOSTEST1335;PSOSElderlyProgram,,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0771001_S_TAI084,薏仁水 Pearl Barley Water,AA11224025001,PSOSTEST95;PSOSTEST299,4717011470529,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0859001_S_OS-620,uPure 2 潔淨濾水器2 uPure 2,AA47559000001,PSOSSanity_20210720;PSOSTEST44;PSOSTEST267;PSOSElderlyProgram,8888657122304,0,10,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10002036,衣物柔順劑清新氣息配方 Regular Fabric Softener Spring Fresh,AA11820515001,PSOSTEST16;PSOSTEST1265;PSOSElderlyProgram,4892368660820;H0888001_S_10002036,0,30,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10002038,衣物柔順劑溫柔呵護配方 Regular Fabric Softener Mild Formula,AA11820515001,PSOSSOFTEN;PSOSTEST27;PSOSTEST268;PSOSElderlyProgram,4892368660837;4892368839073,54,900,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10003490BCSR12,[原箱]水動樂 - 維加運動飲料膠樽裝 x12 [Whole Box]Aquarius - Vitamin Guard Sports drink (Bottle) x12,AA22701000001,PSOSTEST80;PSOSTEST1084;PSOSElderlyProgram,4999000775;4999000776;4999000777,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10003734,純正番茄汁 Tomato Juice,AA11222010001,PSOSTEST71;PSOSTEST448;PSOSElderlyProgram,4901306012901,28,378,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10004780,出前一丁雞蓉味麵 Demae Ramen Chicken Flavour Instant Noodle,,PSOSTEST22;PSOSTEST208,4897878000036,800,2862,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10004781,前一丁九州濃湯豬骨湯味麵 Demae Ramen Kyushu Tonkotsu Flavour Instant Noodle,AA47105000001,PSOSTest_FRUIT;PSOSTEST98;PSOSTEST486;PSOSElderlyProgram,4897878800025,1244,4250,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10004785,出前一丁火辣海鮮味麵 Demae Ramen Spicy Seafood Flavour Instant Noodle,AA11354005001,PSOSnoodles;PSOSTEST12;PSOSTEST659,4897878800032,672,1536,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10006760,牛骨湯麵牛骨湯麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵麵 GOMTANG NOODLE (BEEF FLAVOUR)NOODLENOODLENOOODLENOODLENOODLENOODLENOODLENOODLENOODLENOODLENOODLENOODLENOODLENO,AA11354005001,PSOSTEST33;PSOSTEST207,648436000000;648436105144,18,64,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10007305,溫和沐浴乳 Essential Cleansing Emulsion,AA33401000001,PSOSTEST_VEGET;PSOSBIOLANE;PSOSTEST82;PSOSTEST1660;PSOSElderlyProgram,3286018000035,-1904,2004,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10007309,2合1抗敏沐浴/洗髮啫喱 Lipid-enriched Body and Hair Cleansing Gel,AA11924005001,PSOSTEST37;PSOSTEST1624;PSOSElderlyProgram,3286010008992,-1893,504,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10007311,抗敏護膚膏 Rash Cream,AA11924015001,PSOSBIOLANE;PSOSTEST66;PSOSTEST1015;PSOSElderlyProgram,3286011092310,0,420,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10007313,滋潤保濕乳霜 Nourishing and Moisturizing Cream,AA11924015001,PSOSBIOLANE;PSOSTEST93;PSOSTEST1702;PSOSElderlyProgram,3286011008502,-12,0,2
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10009135,藍梅寒天果凍糖 Blueberry Agar Jelly,AA11153005001,PSOSTEST64;PSOSTEST1305;PSOSElderlyProgram,4901377002207,-2,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10009139,蜂蜜檸檬寒天果凍糖 Honey Lemon Agar Jelly,AA11153005001,PSOSTEST64;PSOSElderlyProgram,4901377003105,0,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10009151,什錦軟糖 Mixed Fruit Candy,AA11150560001,PSOSTEST43;PSOSTEST1402;PSOSElderlyProgram,4901550267546,-1,0,0
IRS,"Island Resort, Siu Sai Wan 小西灣藍灣廣場店",H0888001_S_10009357,味付御海苔 - 泡菜味 Seasoned Seaweed - Kimchi,AA11156000001,PSOSTEST8;PSOSTEST497;PSOSElderlyProgram,4897019420907,0,0,0
