Shop Code,Store Name,Date,Time,POS Order Number,Hybris Order Code,Product Quantity,Product Price,Order Amount,Include Web Cart,Mode,Payment Method,Payment Type,Payment Terminal,Payment Reference,Payment Auth Code,PAN,Manual Confirm,Manual Confirm Payment Remark,Customer,Staff,Manual Payment Order Remark
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,22/09/2025,10:35:09,CLS0020250922103502,H250923000001,5,100,100,N,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,,SF230018,testing
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,26/09/2025,10:49:23,CLS0020250926104921,H250926500025,0,139.9,139.9,Y,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,EER2 EER2 (9104079585284),RENEE,yy
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,26/09/2025,10:50:00,CLS0020250926104957,H250926001011,0,139.9,139.9,Y,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,Yvonne Hung (9067379392516),RENEE,uu
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,30/09/2025,09:45:32,CLS0020250930094341,H250930000020,1,13,13,N,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,hktvmall hello (9055451840516),HYTSE,pos96
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,30/09/2025,09:55:43,CLS0020250930095534,H250930000021,1,13,13,N,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,asd tse (9046014656516),HYTSE,pos96_selected
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,30/09/2025,15:22:38,CLS0020250930152210,H250930001012,1,13,13,N,CASHIER,CREDIT_CARD,,MANUAL,,,,N,,,HYTSE,psos741_notmember
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,22/09/2025,16:02:31,CLS0120250922160203,,4,687,687,N,CASHIER,OCTOPUS,,MANUAL,,,,N,,55556663 GVIP (9069312770052),SHELDON,r
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,22/09/2025,16:04:43,CLS0120250922160434,H250922002035,2,324,324,N,CASHIER,QR_CODE,WECHATPAY,MANUAL,,,,N,,55556664 DVIP (9069312802820),SHELDON,t
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,26/09/2025,16:05:23,CLS0120250926160519,H250926005002,1,20,15.8,N,CASHIER,OCTOPUS,,MANUAL,,,,N,,,SHELDON,88
CLS,EDIT Tuen Mun Chi Lok Fa Yuen Shop EDIT 屯門置樂店,26/09/2025,16:07:51,CLS0120250926160748,H250926005001,1,199,157.6,N,CASHIER,OCTOPUS,,MANUAL,,,,N,,,SHELDON,55
