Transaction Id,Replenishment Flow,Replenishment Category,Store Code,Product Code,Product Name,Hybris Order Code,Target Qty,Order Qty,Pending Qty,Received Qty,Cancelled Qty,Order Date
241805,HYBRIS,,TWS,H0859001_S_OS-620,uPure 2 潔淨濾水器2,,440,440,0,0,0,2025-08-30_00:00:00
241808,IMAX_STACKING,FROZEN,COB,H0888001_S_10022875,美國特選牛肩胛肥牛片 (急凍),IS00071443,520,520,0,0,0,2025-08-30_00:00:01
241808,IMAX_STACKING,FROZEN,COB,H0888001_S_10012511,西班牙咸豬手,IS00071443,1610,1610,0,0,0,2025-08-30_00:00:01
241808,IMAX_STACKING,FROZEN,COB,H0888001_S_10011849,美國大西洋野生響螺頭 M (急凍),IS00071443,3000,3000,0,0,0,2025-08-30_00:00:02
241808,IMAX_STACKING,FROZEN,COB,H0888001_S_10011848,日本煮食用帶子急凍急凍,IS00071443,990,990,0,0,0,2025-08-30_00:00:02
241811,HYBRIS,,COB,H0888001_S_10009135,藍梅寒天果凍糖,,1212,1212,0,0,0,2025-08-30_00:01:00
241811,HYBRIS,,COB,H0888001_S_10009139,蜂蜜檸檬寒天果凍糖,,1308,1308,0,0,0,2025-08-30_00:01:00
241811,HYBRIS,,COB,H0888001_S_10009151,什錦軟糖,,1420,1420,0,0,0,2025-08-30_00:01:00
241818,HYBRIS,,CLS,H0888001_S_10007313,滋潤保濕乳霜,,444,0,0,0,0,2025-08-30_10:09:00
241819,IMAX_STACKING,DRY,CLS,H0888001_S_10002195,大樽生啤 (日本版),IS00071446,12,0,0,0,0,2025-08-30_10:22:00
241820,HYBRIS,,STS,H0888001_S_10012783,巴西牛胸腩粒 (急凍),,792,0,0,0,0,2025-08-30_10:32:00
241821,HYBRIS,,CLS,H0888001_S_10133455,澳洲和牛漢堡扒 (急凍),,1020,0,0,0,0,2025-08-30_10:38:00
241821,HYBRIS,,CLS,H0888001_S_10133940,(澳洲直送!) 澳洲穀飼西冷牛扒 (2塊裝) (急凍),,1000,0,0,0,0,2025-08-30_10:38:00
241821,HYBRIS,,CLS,H0888001_S_10133453,澳洲M4+ 和牛西冷牛扒 (急凍),,330,0,0,0,0,2025-08-30_10:38:00
241821,HYBRIS,,CLS,H0888001_S_10018534,澳洲海參(禿參，又名花刺參) (急凍),,408,0,0,0,0,2025-08-30_10:38:00
241825,HYBRIS,,STS,H0249001_S_1272s-74s,BBB薰衣草身體潔淨旅行套裝,,210,0,0,0,0,2025-08-30_11:08:01
241825,HYBRIS,,STS,H0249001_S_1273,CCC薰衣草洗髮水,,140,0,0,0,0,2025-08-30_11:08:01
241825,HYBRIS,,STS,H0249001_S_1274,DDD薰衣草護髮素,,210,0,0,0,0,2025-08-30_11:08:01
241825,HYBRIS,,STS,H0249001_S_1282s-84s,活花身體潔淨旅行套裝,,210,0,0,0,0,2025-08-30_11:08:01
241825,HYBRIS,,STS,H0249001_S_1284,活花護髮素,,210,0,0,0,0,2025-08-30_11:08:01
241825,HYBRIS,,STS,H0249001_S_1292,花露水沐浴露,,210,0,0,0,0,2025-08-30_11:08:01
241825,HYBRIS,,STS,H0249001_S_1292s-94s,花露水身體潔淨旅行套裝一二三四五六,,210,0,0,0,0,2025-08-30_11:08:01
241825,HYBRIS,,STS,H0249001_S_1293,花露水洗髮水,,210,0,0,0,0,2025-08-30_11:08:01
241825,HYBRIS,,STS,H0249001_S_1294,花露水護髮素,,210,0,0,0,0,2025-08-30_11:08:01
241825,HYBRIS,,STS,H0249001_S_2151,雪花膏,,210,0,0,0,0,2025-08-30_11:08:02
241825,HYBRIS,,STS,H0249001_S_2152,活花潤手霜,,210,0,0,0,0,2025-08-30_11:08:02
241825,HYBRIS,,STS,H0249001_S_2157,花露水香皂,,210,0,0,0,0,2025-08-30_11:08:02
241825,HYBRIS,,STS,H0249001_S_2163,活花爽身粉 (玫瑰花香),,210,0,0,0,0,2025-08-30_11:08:02
241825,HYBRIS,,STS,H0249001_S_2166,活花香皂,,210,0,0,0,0,2025-08-30_11:08:02
241825,HYBRIS,,STS,H0249001_S_2167,活花止汗液,,210,0,0,0,0,2025-08-30_11:08:02
241825,HYBRIS,,STS,H0249001_S_2177,迷你雪花膏,,210,0,0,0,0,2025-08-30_11:08:02
241825,HYBRIS,,STS,H0249001_S_2181,EEE薰衣草味護髮油,,210,0,0,0,0,2025-08-30_11:08:02
241825,HYBRIS,,STS,H0249001_S_2182,活花味護髮油  (玫瑰花香),,210,0,0,0,0,2025-08-30_11:08:02
241825,HYBRIS,,STS,H0249001_S_2186,活花爽身粉 80克 (罐裝)（附柔軟粉撲）,,210,0,0,0,0,2025-08-30_11:08:02
241825,HYBRIS,,STS,H0249001_S_2187,花露水爽身粉 80克 (罐裝)（附柔軟粉撲）,,210,0,0,0,0,2025-08-30_11:08:02
241825,HYBRIS,,STS,H0249001_S_2188B,花露水濕紙巾 (20片),,210,0,0,0,0,2025-08-30_11:08:02
241825,HYBRIS,,STS,H0249001_S_2198,花露水 (200毫升),,210,0,0,0,0,2025-08-30_11:08:02
241825,HYBRIS,,STS,H0249001_S_2202,花露水 (100毫升),,210,0,0,0,0,2025-08-30_11:08:02
241825,HYBRIS,,STS,H0249001_S_2204,花露水 (15毫升),,210,0,0,0,0,2025-08-30_11:08:02
241825,HYBRIS,,STS,H0249001_S_2208,花露水 (10毫升),,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_2209,花露水膏,,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_4261,雙妹嚜復古記事簿,,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_4281,雙妹嚜復古記事簿,,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_4284,雙妹嚜復古拼圖,,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_4286,雙妹嚜復古拼圖,,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_4287,雙妹嚜復古拼圖,,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_4290,懷舊2R相簿,,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_4291,懷舊2R相簿,,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_4292,懷舊2R相簿,,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_4293,懷舊2R相簿,,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_4315,雙妹嚜黑色環保袋,,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_8808,馬賽皂 (檸檬),,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_8809,馬賽皂 (蜜糖),,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_8810,馬賽皂 (白檀),,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_KC1100,指甲水,,210,0,0,0,0,2025-08-30_11:08:03
241825,HYBRIS,,STS,H0249001_S_KC1101,指甲油 (藍紫色系),,210,0,0,0,0,2025-08-30_11:08:04
241825,HYBRIS,,STS,H0249001_S_KC1102,指甲油 (藍紫色系),,210,0,0,0,0,2025-08-30_11:08:04
241825,HYBRIS,,STS,H0249001_S_KC1103,指甲油 (藍紫色系),,210,0,0,0,0,2025-08-30_11:08:04
241825,HYBRIS,,STS,H0249001_S_KC1105,指甲油 (藍紫色系),,210,0,0,0,0,2025-08-30_11:08:04
241825,HYBRIS,,STS,H0249001_S_KC1106,指甲油 (紅色系),,210,0,0,0,0,2025-08-30_11:08:04
241825,HYBRIS,,STS,H0249001_S_KC1107,指甲油 (紅色系),,210,0,0,0,0,2025-08-30_11:08:04
241825,HYBRIS,,STS,H0249001_S_KC1108,指甲油 (紅色系),,210,0,0,0,0,2025-08-30_11:08:04
241825,HYBRIS,,STS,H0249001_S_KC1112,指甲油 (藍紫色系),,210,0,0,0,0,2025-08-30_11:08:04
241825,HYBRIS,,STS,H0249001_S_KC1113,指甲油 (紅色系),,210,0,0,0,0,2025-08-30_11:08:04
241825,HYBRIS,,STS,H0249001_S_KC1116,指甲油 (彩色系),,210,0,0,0,0,2025-08-30_11:08:04
241825,HYBRIS,,STS,H0249001_S_KC1121,指甲油 (紅色系),,210,0,0,0,0,2025-08-30_11:08:05
